"name","playtime","deck","notes","length","key","bpm","artist"
"Baba Yaga","00:04:09","1","","","Dm","75","ORIENTAL CRAVINGS & BEAUZ"
"zero one [blanke flip]","00:02:44","2","","","Cm","75","kid"
"BAP U (not sorry Remix)","00:04:57","1","","","Ebm","87","Party Favor"
"Crush On You (Knife Party Remix)","00:06:15","2","","","Ebm","87","Knife Party"
"Fracture","00:11:31","1","","","F#m","74","Apashe, Flux Pavilion, & Joey Valence"
"WARLORDZ (Bailo & ISOxo Remix)","00:10:24","2","","","Ebm","75","Troyboi & Skrillex"
"Grave","01:21:42","4","","","Am","85","NGHTMRE & WAVEDASH"
"Another Dimension (YOOKiE Remix)","00:02:01","1","","","Ebm","75","NGHTMRE & Dillon Francis"
"DADADADA ","00:02:43","2","","","G#m","75","Wuki"
"DADADADA (Slippy Remix)","00:02:50","1","","","G#m","72","Wuki"
"Miss Murder Language (Scudda Edit)","00:00:11","2","","","G#m","75","AFI x Porter Robinson"
"Black Mclaren","00:02:30","2","","","G#m","75","MineSweepa"
"Boombox Cartel - Jefe (UNEXPECTED Remix)","00:03:16","1","","","Ebm","75",""
"Gassed Up","00:04:53","2","","","G#m","75","Jauz & DJ Snake"
"U MAKE (EXTENDED MIX)","00:05:34","1","","","Gm","75","SUBSHOCK AND EVANGELOS"
"Selecta (Nght Klub Remix)","00:05:19","2","","","2A","126","Skrillex & BEAM"
"Satisfaction (Teken Rework)","00:04:24","1","","","Ebm","126","Benny Benassi"
"Pineapple (ZEKE BEATS Remix)","00:04:09","2","","","Ebm","126","Eprom"
"This Is America (VIP Edit)","00:05:32","1","","","Ebm","125","Matroda x Childish Gambino"
"I Wanna Dance With Somebody (SJ Redrum)","00:07:17","2","","","Bbm","125","Whitney Houston"
"Baby Come Back (Birthdayy Partyy Remix)","00:05:15","1","","","Fm","87","Kill Paris"
"Tom Jones - It's Not Unusual (Fort Knox Five Remix)","00:05:47","2","","","Am","87","Ghetto Funk Allstars"
"The People (D&B Mix)","00:06:53","1","","","4A","87","1991"
"Out My Head (Fox Stevenson & Feint Remix)","00:03:40","2","","","Fm","87","Fox Stevenson"
"Watercolour (Matrix & Futurebound Remix)","00:03:41","1","","","Fm","87","Pendulum"
"SHELTER (REAPER REMIX)","00:05:19","2","","","Fm","87","PORTER ROBINSON & MADEON"
"GRIZTRONICS (REAPER REMIX)","00:04:26","1","","","Em","86","Griz x Subtronics"
"I Write Sins Not Tragedies (Cherry Beach Remix)","00:04:58","2","","","Am","85","Panic! At The Disco"
"Killin' It (Dirtyphonics Remix)","00:03:55","1","","","C#m","87","Krewella"
"SPEAKERBOX (REAPER REMIX)","00:05:27","2","","","Ebm","88","BASSNECTAR"
"FLUTE","00:05:33","1","","","Cm","88","MONSS"
"summit (sakuraburst remix)","00:05:10","2","","","Gm","88","skrillex"
"Ashes Intro (afterlife)","00:05:57","1","","","Gm","88","Illenium"
"Particle Arts (Divine Remix)","00:05:07","2","","","Gm","88","Virtual Self"
"Line of Sight ft. WYNNE & Mansionair (TOO KIND Flip)","00:00:25","1","","","F#m","87","ODESZA"
"Always This Late (Illenium Remix)","00:03:32","1","","","Eb","85","Odesza"
"Divinity (KRILLA Remix)","00:10:32","2","","","Gm","90","Porter Robinson"
"H E x","00:08:48","1","","","Dm","90","REZZ x 1788-L"
