"name","playtime","deck","notes","length","key","bpm","artist"
"4/6/24","03:41:36","","","03:41:36","","",""
"Come Back (Nest HQ Premiere)","00:13:17","1","","","Ebm","124","Matroda x Dustycloud"
"Money","00:12:28","2","","","Ebm","124","No Thanks"
"G6 (RMX)","00:11:32","1","","","Fm","124","LOthief & MOJJO"
"This Groove","00:04:23","2","","","Fm","124","Martin Lorenzo"
"Claim To Be (Boots N Pants Remix)","00:07:31","1","","","Fm","124","Jauz"
"Beats Knockin (Aylen & Zhomek Remix)","00:06:48","2","","","4A","124","Jack Ü"
"Wild Out (Boots N' Pants Remix)","00:06:54","1","","","Fm","122","Borgore ft. Waka Flock Flame"
"Stayin'Alive (Guerreris Bootleg)","00:06:31","2","","","Fm","122","Bee Gees"
"Blood On The Dance Floor (Thomas Vent House Remix)","00:04:27","1","","","Fm","124","Michael Jackson"
"Time","00:05:25","2","","","Fm","124","Shapeless & Illusionize"
"Afterparty","00:05:52","1","","","Fm","124","Burn The Disco"
"Like The Groove","00:07:13","2","","","Fm","124","Dillon Nathaniel"
"Magenta Riddim (Funky Fool Flip)","00:07:52","1","","","Fm","124","DJ Snake"
"Palm Sprung","00:04:27","2","","","Fm","124","Hotel Garuda"
"Sun Goes Down","00:01:38","1","","","Ebm","75","Fabian Mazur"
"Sun Goes Down (WNDRLVND Remix)","00:02:58","2","","","Ebm","75","Fabian Mazur"
"Gold (Stupid Love) (ATLAST Remix)","00:05:05","1","","","Ebm","75","Excision & Illenium"
"Jefe","00:05:43","2","","","Ebm","75","Boombox Cartel"
"Supernatural (feat. Anjulie) [RNSOM Remix]","00:03:49","1","","","Ebm","75","Boombox Cartel"
"All Of The Lights (Nitti Gritti Bootleg)","00:02:54","2","","","Ebm","75","Kanye West"
"On My Block","00:03:07","1","","","Ebm","75","Nazaar"
"WAWA","00:02:52","2","","","Ebm","75","Party Favor"
"WARLORDZ (Bailo & ISOxo Remix)","00:05:21","1","","","Ebm","75","Troyboi & Skrillex"
"Motivate","00:08:15","1","","","Fm","125","Too Kind"
"Physical (Claptone Remix)","00:04:10","2","","","Fm","125","Dua Lipa"
"Work It (Confidence Man Edit)","00:04:22","1","","","5A","125","Missy Elliot"
"HOT DRUM","00:03:33","2","","","Gm","125","JOYRYDE"
"Feel The Volume","00:04:30","1","","","Cm","125","Jauz"
"Bass Head (Birthdayy Partyy Flip)","00:03:35","2","","","Dm","125","Bassnectar"
"Leave Me Like This (TRYPBOX Remix)","00:05:30","1","","","7B","125","Skrillex"
"Midnight Hour (Dub Mix)","00:07:12","2","","","Dm","126","Skrillex & Boys Noize"
"Baby Again","00:05:28","1","","","6A","127","Fred Again, Skrillex, & Four Tet"
"Money For Nothing (CASHEW Remix)","00:04:39","2","","","6A","125","Dire Straits"
"Pizza (Extended Mix)","00:08:26","1","","","G#m","126","Chris Lake x Chris Lorenzo pres. Anti Up"
"Snap Yo Fingers (Birthdayy Partyy Remix)","00:07:01","2","","","Ebm","126","Lil Jon"
"Fireworks (Original Mix)","00:02:48","1","","","Cm","125","Mercer"
"Say Less ft. G-Eazy (Ciesta HARD TRAP Remix)","00:03:04","2","","","Gm","75","Dillon Francis"
"Febreze (Feat. 2 Chainz)","00:04:01","1","","","Gm","75","Jack Ü"
"Bop It!","00:04:09","2","","","Gm","75","Animal House"
"Honey Jar (Shadient Remix)","00:04:12","1","","","Eb","75","Wavedash & Tucker Kreway"
"Boss (Carbin VIP)","00:00:47","2","","","Gm","75","AFK X Carbin"
"MDR (KAYVIAN Remix)","00:04:28","2","","","Gm","75","Party Favor X Baauer"
